type,time
1,6
0,6.25
4,6.5
2,6.75
0,7
0,7.25
0,7.5
1,7.75
4,7.75
0,8
2,8.25
0,8.5
3,8.75
0,9
1,9.25
2,9.5
1,9.75
3,10
4,10.25
3,10.5
0,10.75
0,11
0,11.25
2,11.5
0,11.75
3,12
0,12.25
1,12.5
2,12.75
1,13
3,13.25
4,13.5
3,13.75
0,14
3,14.25
0,14.5
0,14.75
1,15
4,15
0,15.25
2,15.5
0,15.75
3,16
0,16.25
1,16.5
4,16.75
1,17
3,17.25
4,17.5
3,17.75
0,18
0,18.25
0,18.5
3,18.75
2,19
3,19.25
2,19.5
0,19.75
0,20
0,20.25
1,20.5
3,20.75
2,21
4,21.25
3,21.5
3,21.75
0,22
0,22.25
1,22.5
4,22.5
0,23
0,23.25
0,23.5
3,23.75
4,24
2,24.25
4,24.5
0,24.75
0,25
0,25.25
0,25.5
0,25.75
1,26
4,26.25
2,26.5
0,26.75
0,27
2,27.25
4,27.5
4,27.75
3,28
2,28.25
1,28.5
2,28.75
2,29
0,29.25
0,29.5
1,30
4,30
3,30.25
2,30.5
1,30.75
0,31
1,31.25
1,31.5
2,31.75
3,32
0,32.25
0,32.5
0,32.75
0,33
0,33.25
4,33.5
3,33.75
2,34
1,34.25
0,34.5
1,34.75
4,35
1,35.25
3,35.5
2,35.75
2,36
0,36.25
0,36.5
1,37
4,37
0,37.5
0,50
0,50.25
0,50.5
0,50.75
0,51
0,51.25
0,51.5
1,51.75
4,52
2,52.25
0,52.5
3,52.75
0,53
0,53.25
3,53.5
0,53.75
3,54
0,54.25
2,54.5
2,54.75
0,55
0,55.25
1,55.5
4,55.75
2,56
0,56.25
3,56.5
0,56.75
3,57
0,57.25
3,57.5
3,57.75
3,58
0,58.25
0,58.5
0,58.75
0,59
1,59.25
4,59.5
2,59.75
0,60
3,60.25
0,60.5
3,60.75
0,61
2,61.25
0,61.5
0,61.75
4,62
0,62.25
0,62.5
1,62.75
4,63
0,63.25
0,63.5
3,63.75
0,64
3,64.25
0,64.5
1,64.75
2,65
4,65.25
0,65.5
0,65.75
0,66
0,73
0,73.25
0,73.5
0,73.75
1,74
3,74.25
0,74.5
1,74.75
3,75
0,75.25
1,75.5
3,75.75
0,76
0,76.25
3,76.5
0,76.75
2,77
0,77.25
3,77.5
1,77.75
4,78
1,78.25
2,78.5
0,78.75
3,79
0,79.25
2,79.5
0,79.75
0,80
0,80.25
0,80.5
0,80.75
0,81
0,81.25
1,81.5
3,81.75
0,82
1,82.25
3,82.5
0,82.75
1,83
3,83.25
0,83.5
0,83.75
3,84
0,84.25
2,84.5
0,84.75
3,85
1,85.25
4,85.5
1,85.75
2,86
0,86.25
3,86.5
0,86.75
3,87
0,87.25
0,87.5
0,87.75
0,88
0,88.25
0,88.5
0,88.75
1,89
3,89.25
0,89.5
1,89.75
3,90
0,90.25
1,90.5
3,90.75
0,91
0,91.25
3,91.5
0,91.75
2,92
0,92.25
3,92.5
1,92.75
4,93
1,93.25
2,93.5
0,93.75
3,94
0,94.25
3,94.5
0,94.75
0,95
0,95.25
0,95.5
0,95.75
0,96
1,96.25
3,96.5
0,96.75
1,97
3,97.25
0,97.5
1,97.75
3,98
0,98.25
0,98.5
3,98.75
0,99
2,99.25
0,99.5
3,99.75
1,100
4,100.25
1,100.5
2,100.75
0,101
3,101.25
0,101.5
3,101.75
0,102
0,102.25
0,102.5
0,102.75
0,103
0,103.25
1,103.5
2,103.75
3,104
0,104.25
2,104.5
0,104.75
4,105
0,105.25
2,105.5
0,105.75
0,106
2,106.25
0,106.5
0,106.75
1,107
2,107.25
3,107.5
0,107.75
4,108
0,108.25
0,108.5
2,108.75
0,109
1,109.25
3,109.5
0,109.75
3,110
0,110.25
0,110.5
1,110.75
2,111
3,111.25
0,111.5
4,111.75
0,112
0,112.25
2,112.5
0,112.75
3,113
0,113.25
2,113.5
0,113.75
0,114
0,114.25
1,114.5
4,114.75
1,115
0,115.25
0,115.5
0,115.75
2,116
3,116.25
0,116.5
0,116.75
0,117
0,117.25
0,117.5
0,117.75
0,118
1,118.25
2,118.5
3,118.75
0,119
2,119.25
0,119.5
4,119.75
0,120
2,120.25
0,120.5
0,120.75
2,121
0,121.25
0,121.5
1,121.75
2,122
3,122.25
0,122.5
4,122.75
0,123
0,123.25
2,123.5
0,123.75
1,124
3,124.25
0,124.5
3,124.75
0,125
0,125.25
1,125.5
2,125.75
3,126
0,126.25
4,126.5
0,126.75
0,127
2,127.25
0,127.5
3,127.75
0,128
2,128.25
0,128.5
0,128.75
0,129
1,129.25
4,129.5
1,129.75
0,130
1,130.25
2,130.5
0,130.75
2,131
3,131.25
0,131.5
0,131.75
0,132
1,132.25
4,132.25
2,132.75
3,132.75
5,38
5,50
5,66
5,73
